Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
04.06.2024;173,79;173,28;173,85;171,89;22,73M;0,36%
03.06.2024;173,17;172,54;174,52;171,16;27,46M;0,39%
31.05.2024;172,5;171,86;173,06;169,44;37,64M;0,23%
30.05.2024;172,11;175,2;175,22;171,79;22,96M;-2,15%
29.05.2024;175,9;175,43;176,84;174,72;23,39M;-0,28%
28.05.2024;176,4;174,45;177,27;174,37;20,57M;0,81%
24.05.2024;174,99;174,98;175,77;173,65;16,58M;0,83%
23.05.2024;173,55;177,07;178,25;172,95;21,02M;-1,60%
22.05.2024;176,38;176,64;177,15;175,21;17,88M;-0,83%
21.05.2024;177,85;176,9;178,15;175,81;16,99M;0,53%
20.05.2024;176,92;176,19;178,77;176,08;22,55M;0,49%
17.05.2024;176,06;174,18;176,26;173,69;24,48M;1,08%
16.05.2024;174,18;173,29;175,12;172,69;27,87M;0,97%
15.05.2024;172,51;170,63;172,65;170,51;26,95M;1,27%
14.05.2024;170,34;169,77;171,25;168,8;25,13M;0,71%
13.05.2024;169,14;164,26;169,28;164;31,33M;0,29%
10.05.2024;168,65;168,02;169,85;166,19;29,80M;-0,77%
09.05.2024;169,96;169,39;170,69;168,18;15,35M;0,34%
08.05.2024;169,38;169;170,15;168,74;19,57M;-1,09%
07.05.2024;171,25;168,5;171,76;168,39;28,04M;1,87%
06.05.2024;168,1;167,46;168,14;166,03;21,87M;0,51%
03.05.2024;167,24;167,56;167,96;163,05;34,66M;0,37%
02.05.2024;166,62;164,79;166,73;163,89;24,29M;1,68%
01.05.2024;163,86;164,3;167,12;163,09;33,49M;0,66%
30.04.2024;162,78;165,61;168,1;162,6;33,56M;-2,03%
29.04.2024;166,15;169,06;169,55;165,21;45,61M;-3,37%
26.04.2024;171,95;174,37;174,71;169,65;64,67M;10,22%
25.04.2024;156;151,33;156,49;150,87;57,11M;-1,97%
24.04.2024;159,13;157,49;159,57;157,16;22,78M;0,55%
23.04.2024;158,26;156,96;158,97;156,28;21,15M;1,27%
22.04.2024;156,28;154,31;157,64;154,06;26,45M;1,42%
19.04.2024;154,09;156,2;156,36;152,3;32,62M;-1,23%
18.04.2024;156,01;155,34;156,94;154,62;19,88M;0,35%
17.04.2024;155,47;155,62;157,08;154,58;21,76M;0,69%
16.04.2024;154,4;154,19;155,65;153,43;20,78M;-0,30%
15.04.2024;154,86;158,86;159,24;154,59;27,14M;-1,82%
12.04.2024;157,73;157,96;160,22;157,14;25,35M;-1,05%
11.04.2024;159,41;156,91;159,68;156,46;27,17M;2,09%
10.04.2024;156,14;156,21;156,61;154,68;22,84M;-0,29%
09.04.2024;156,6;156,09;158,56;155,19;31,11M;1,13%
08.04.2024;154,85;152,78;155,27;152,61;20,70M;1,54%
05.04.2024;152,5;150,03;153,42;149,6;23,46M;1,31%
04.04.2024;150,53;153,5;154,77;150,45;34,72M;-2,83%
03.04.2024;154,92;153,6;155,08;152,73;24,70M;0,23%
02.04.2024;154,56;153,5;154,7;152,15;24,59M;-0,60%
01.04.2024;155,49;150,69;155,74;150,61;31,73M;3,02%
28.03.2024;150,93;150,85;151,43;150,17;24,49M;0,04%
27.03.2024;150,87;151,18;151,63;148,9;22,88M;0,13%
26.03.2024;150,67;150,22;152,26;149,98;22,15M;0,40%
25.03.2024;150,07;149,94;150,38;147,82;19,23M;-0,46%
22.03.2024;150,77;149,12;151,58;148,98;29,21M;2,15%
21.03.2024;147,6;149,47;150,37;146,9;24,76M;-0,77%
20.03.2024;148,74;148;148,86;146,74;21,31M;1,16%
19.03.2024;147,03;148,16;148,79;146,08;24,07M;-0,44%
18.03.2024;147,68;148,61;152,15;147,17;69,27M;4,60%
15.03.2024;141,18;142,5;143,18;140,03;49,48M;-1,34%
14.03.2024;143,1;141,19;143,59;140,46;42,75M;2,37%
13.03.2024;139,79;139;141,09;138,99;23,35M;0,93%
12.03.2024;138,5;137,03;139,38;137,03;27,56M;0,60%
11.03.2024;137,67;136,13;139,1;136,13;32,44M;1,67%
08.03.2024;135,41;134,21;138,09;134;39,37M;0,77%
07.03.2024;134,38;132,79;134,94;131,61;37,74M;2,27%
06.03.2024;131,4;133,12;133,58;130,85;35,32M;-0,96%
05.03.2024;132,67;131,88;133,24;130,66;40,19M;-0,51%
04.03.2024;133,35;135,66;135,66;131,91;56,00M;-2,76%
01.03.2024;137,14;138,43;138,87;136,92;31,15M;-0,95%
29.02.2024;138,46;137,28;138,86;136,4;42,13M;1,53%
28.02.2024;136,38;137,9;138,01;135,41;37,33M;-1,80%
27.02.2024;138,88;138,02;139,25;137,09;33,10M;0,95%
26.02.2024;137,57;142,14;142,44;137,39;53,64M;-4,44%
23.02.2024;143,96;143,67;144,68;143,43;19,49M;-0,09%
22.02.2024;144,09;144,93;145;142,8;27,19M;1,08%
21.02.2024;142,55;141,45;142,69;140,68;23,32M;1,01%
20.02.2024;141,12;139,65;142,08;139,49;24,94M;0,43%
16.02.2024;140,52;142,99;143,19;140,14;31,47M;-1,58%
15.02.2024;142,77;143,14;143,52;140,46;37,59M;-2,17%
14.02.2024;145,94;146,08;146,52;144,09;22,70M;0,55%
13.02.2024;145,14;144,92;146,67;143,69;27,84M;-1,62%
12.02.2024;147,53;148,42;149,34;147,37;21,56M;-0,99%
09.02.2024;149;146,68;149,44;146,18;26,83M;2,12%
08.02.2024;145,91;145,83;146,33;145,1;22,56M;0,25%
07.02.2024;145,54;144,76;145,62;143,93;25,21M;1,00%
06.02.2024;144,1;144,65;145,36;143,19;29,13M;0,29%
05.02.2024;143,68;142,82;145,47;142,78;38,51M;0,91%
02.02.2024;142,38;139,26;142,62;136,5;62,50M;0,86%
01.02.2024;141,16;142,12;143,06;140,79;40,47M;0,76%
31.01.2024;140,1;143,62;144;139,87;71,91M;-7,50%
30.01.2024;151,46;152,8;153,62;151,18;36,33M;-1,34%
29.01.2024;153,51;152,06;153,78;151,43;27,78M;0,87%
26.01.2024;152,18;151,1;152,54;151,01;26,12M;0,21%
25.01.2024;151,87;150,07;153,05;149,54;29,15M;2,13%
24.01.2024;148,7;148,54;149,85;148,1;25,23M;1,13%
23.01.2024;147,04;145,89;147,18;145,5;21,64M;0,72%
22.01.2024;145,99;147,1;148,39;145,84;32,20M;-0,27%
19.01.2024;146,38;144,74;146,45;144,38;34,27M;2,02%
18.01.2024;143,48;142,05;144,21;141,99;25,75M;1,42%
17.01.2024;141,47;141,35;141,84;138,9;20,97M;-0,72%
16.01.2024;142,49;142;144,35;141,45;22,67M;-0,11%
12.01.2024;142,65;142,67;143,2;141,82;18,79M;0,40%
11.01.2024;142,08;143,49;145,22;140,63;24,01M;-0,14%
10.01.2024;142,28;141;143;140,91;21,32M;0,94%
09.01.2024;140,95;138,5;141,49;138,15;24,76M;1,52%
08.01.2024;138,84;136,29;139,01;136,26;21,40M;2,29%
05.01.2024;135,73;136,74;137,16;135,15;22,51M;-0,48%
04.01.2024;136,39;138,42;139,16;136,35;27,14M;-1,82%
03.01.2024;138,92;137,25;139,63;137,08;24,21M;0,54%
02.01.2024;138,17;138,55;139,45;136,48;23,71M;-1,09%
29.12.2023;139,69;139,63;140,36;138,78;18,73M;-0,39%
28.12.2023;140,23;140,78;141,14;139,75;16,05M;-0,10%
27.12.2023;140,37;141,59;142,08;139,89;19,63M;-0,81%
26.12.2023;141,52;141,59;142,68;141,19;16,78M;0,02%
22.12.2023;141,49;140,77;141,99;140,71;26,53M;0,76%
21.12.2023;140,42;139,49;140,68;139,18;27,49M;1,50%
20.12.2023;138,34;138,97;141,7;138,07;49,11M;1,24%
19.12.2023;136,65;136,84;137,47;136,08;25,48M;0,63%
18.12.2023;135,8;132,63;137,15;132,43;32,26M;2,41%
15.12.2023;132,6;131,62;133,51;131,18;50,85M;0,50%
14.12.2023;131,94;133,38;133,72;129,68;38,72M;-0,48%
13.12.2023;132,57;133,38;133,5;131,57;30,10M;0,04%
12.12.2023;132,52;131,81;133;131,26;29,03M;-0,58%
11.12.2023;133,29;132,38;133,34;131,36;31,14M;-1,26%
08.12.2023;134,99;134,2;136,4;134,02;32,26M;-1,42%
07.12.2023;136,93;135,04;138,56;134,7;56,77M;5,31%
06.12.2023;130,02;131,44;131,84;129,88;23,58M;-0,74%
05.12.2023;130,99;128,95;132,14;128,25;27,38M;1,33%
04.12.2023;129,27;129,88;130,03;127,9;36,67M;-1,96%
01.12.2023;131,86;131,86;132,11;130,66;31,44M;-0,51%
30.11.2023;132,53;135,05;135,55;131,28;38,99M;-1,82%
29.11.2023;134,99;137,57;138,29;134,84;23,97M;-1,61%
28.11.2023;137,2;136,08;137,25;135,42;18,73M;0,58%
27.11.2023;136,41;136,03;138,42;136;23,44M;-0,20%
24.11.2023;136,69;138,03;138,13;135,99;12,51M;-1,30%
22.11.2023;138,49;137,47;139,42;137,47;17,82M;1,11%
21.11.2023;136,97;136,29;137,18;135,96;22,64M;0,53%
20.11.2023;136,25;133,69;136,66;133,62;27,85M;0,69%
17.11.2023;135,31;136;136,06;133,65;37,29M;-1,18%
16.11.2023;136,93;135,19;137,22;134,32;28,01M;1,72%
15.11.2023;134,62;134,87;135,03;133,57;23,86M;0,75%
14.11.2023;133,62;134,19;135,7;133,32;32,40M;1,16%
13.11.2023;132,09;131,78;132,59;131,25;18,32M;-0,38%
10.11.2023;132,59;130,1;132,8;129,41;26,93M;1,80%
09.11.2023;130,24;131,96;132,55;130,07;23,75M;-1,21%
